title,date,master,production,category,cast,notes,format,tags,url,encora
Cats,2016-07-22,SunsetBlvd79,First Broadway Revival,video,"Leona Lewis (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Christine Cornish (Bombalurina), Andy Huntington Jones (Munkustrap), Tyler Hanes (Rum Tum Tugger), Kim Faure (Demeter), Emily Pynenburg (Cassandra), Jeremy Davis (Skimbleshanks), Christopher Gurr (Bustopher Jones), Jess LeProtto (Mungojerrie), Shonica Gooden (Rumpleteazer), Sara Jean Ford (Jellylorum), Eloise Kropp (Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Daniel Gaymon (Macavity), Ahmad Simmons (Alonzo), Giuseppe Bausilio (Carbucketty), Arianna Rosario (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Daniel Gaymon (Plato), Christopher Gurr (Peter), Emily Tate (Tantomile), Georgina Pazcoguin (Victoria), Corey John Snide (Coricopat)",,VOB with smalls (7.34GB),,,8458
Cats,1998-02-28,Unknown,Fourth US National Tour,audio,"Natalie Toro (Grizabella), Jeannie Albot (Bombalurina), Jason Gillman (Munkustrap), Andy Karl (Rum Tum Tugger), Amy Hannel (Demeter), Jeff Lagace (Mungojerrie), Michelle Tibbits (Rumpleteazer), Brian Barry (Mr. Mistoffelees), Taylor Wicker (Macavity), Taylor Wicker (Admetus), Christie McCall (Jemima)",13 files.,Tracked WMA - 76.8 MB,,,8496
Cats,2006-03-30,soundboard,Moscow,audio,"Nadezhda Solovjova (Grizabella), Oleg Fedkushov (Old Deuteronomy), Igor Balalaev (Gus), Anna Bagmet (Bombalurina), Ivan Ozhogin (Munkustrap), Aleksey Bobrov (Rum Tum Tugger), Marat Abdrakhimov (Skimbleshanks), Igor Balalaev (Bustopher Jones), Aleksandr Bocharov (Mungojerrie), Victoria Kanatkina (Rumpleteazer), Oksana Kostetskaya (Jellylorum), Anna Guchenkova (Jennyanydots), Maxim Ushakov (Mr. Mistoffelees), Igor Balalaev (Growltiger), Valentina Rubtsova (Jemima)",,,,,8497
Wicked,2016-12-31,PopularLikeMe,Second US National Tour (Munchkinland),audio,"Jessica Vosk (Elphaba), Amanda Jane Cooper (Glinda), Jeremy Woodard (Fiyero), Fred Applegate (The Wizard), Isabel Keating (Madame Morrible), Kristen Martin (Nessarose), Andy Mientus (Boq), Chad Jennings (Doctor Dillamond)",,,,,8695
Cats,2019-03-15,thehouseonsunset,Sixth US National Tour,video,"Keri René Fuller (Grizabella), Brandon Michael Nase (Old Deuteronomy), Timothy Gulan (Gus), Lexie Plath (Bombalurina), Dan Hoy (Munkustrap), McGee Maddox (Rum Tum Tugger), Liz Schmitz (Demeter), Mariah Reives (Cassandra), Ethan Saviet (Skimbleshanks), Timothy Gulan (Bustopher Jones), Tony d'Alelio (Mungojerrie), Rose Iannaccone (Rumpleteazer), Maria Failla (u/s Jellylorum), Emily Jeanne Phillips (Jennyanydots), Tion Gaston (Mr. Mistoffelees), Tyler John Logan (Macavity), Phillip Deceus (Alonzo), Timothy Gulan (Growltiger), Devin Neilson (Bill Bailey), Tyler John Logan (Admetus), Devin Neilson (Tumblebrutus), Ahren Victory (Sillabub), Anthony Zas (Pouncival), Halli Toland (Tantomile), Laura K Kaufman (u/s Victoria), PJ DiGaetano (Coricopat)",,DVD,,,9139
Cats,2019-04-22,Toshos,International Tour,video,"Elizabeth Futter (u/s Grizabella), John Ellis (Old Deuteronomy), Matt Harrop (Gus), Sally Frith (Bombalurina), Jak Skelly (Munkustrap), Dan Partridge (Rum Tum Tugger), Ella Nonini (Demeter), Katie Deacon (Cassandra), Matthew Rowland (Skimbleshanks), Matt Harrop (Bustopher Jones), Billy Mahoney (Mungojerrie), Kirsty Ingram (Rumpleteazer), Amy Whittle (u/s Jellylorum), Ceili O'Connor (Jennyanydots), Alex Harrison (Mr. Mistoffelees), Thomas Inge (Macavity), Lloyd Davies (Alonzo), Matt Harrop (Growltiger), Dean Ambrose (Bill Bailey), Thomas Inge (Admetus), Dean Ambrose (Tumblebrutus), Louis van Leer (Carbucketty), Grace Swaby-Moore (Jemima), Eilish Harmon-Beglan (Tantomile), Hannah Kenna Thomas (Victoria), Fletcher Dobinson (Coricopat)",,,,,9197
The Phantom of the Opera (Andrew Lloyd Webber),1988-00-00,pro-shot,Japanese Tour,video,"Masachika Ichimura (The Phantom of the Opera), Ryōko Nomura (Christine Daaé), Yuichiro Yamaguchi (Raoul de Chagny), Masako Saitō (Carlotta Giudicelli), Takanori Yamamoto (Monsieur Firmin), Jun Sawaki (Monsieur André), Yūko Shibagaki (Madame Giry), Jun Kitagawa (Ubaldo Piangi), Yayoi Aoyama (Meg Giry)",,,,,9322
The Phantom of the Opera (Andrew Lloyd Webber),2016-10-10,Unknown,West End,audio,"Ben Forster (The Phantom of the Opera), Celinde Schoenmaker (Christine Daaé), Nadim Naaman (Raoul de Chagny)",,,,,9336
Rebecca,2008-09-17,skjonnet,Vienna,video,"Wietske van Tongeren (""Ich""), Uwe Kröger (Maxim de Winter), Kerstin Ibald (u/s Mrs. Danvers), Ramin Dustdar (Jack Favell), André Bauer (Frank Crawley), Kathleen Bauer (u/s Beatrice), Norberto Bertassi (Ben), Carin Filipčić (Mrs. Van Hopper), Tim Reichwein (Giles), Tim Reichwein (Horridge)",,,,,9685
Starlight Express,2015-01-28,Unknown,"Bochum, Germany",video,"Kevin Köhler (Rusty), Trina Hill (Pearl), Matthew Goodgame (Greaseball), Paul Shipp (Electra), David Moore (Poppa), Emma Prosser (Dinah), Carla Pullen (Buffy), Sian Jones (s/w Ashley), Ben Draper (s/w Caboose), Toby Poole (u/s Dustin), Paul Treacy (Flat Top), Jason Gray (s/w Hip Hopper 1), Brett Shiels (Hip Hopper 2), Brad Corben (s/w Hip Hopper 3), Graham Harvey (Ruhrgold), Adam Bailey (Espresso), Craig Tyler (s/w Turnov), Jeffrey Socia (Bobo), Elliot Collins (Hashamoto), Kelly Downing (Joule), Dawn-Leigh Woods (Volta), Melanie Brown (Wrench), Cary Chennell (s/w Purse), Dean Coach (Krupp), Manuel Reckow (Trax 1), Etienne Vogel (Trax 2)",,VOB + smalls - 4.48 GB,,,9748
Tanz der Vampire,2005-11-10,pro-shot,Hamburg,video,"Kevin Tarte (Graf von Krolock), Jessica Kessler (Sarah), Max Niemeyer (Alfred), Stefan Poslovski (Professor Abronsius), Jerzy Jeszke (Chagal), Franziska Forster (Magda), Tim Reichwein (Herbert von Krolock), Simone Pohl (Rebecca), Stefan Büdenbender (Koukol)",,VOB with smalls (7.34GB),,,9769
Funny Girl,2002-09-23,pro-shot,Actors' Fund Benefit Concert,video,"Julia Murney (Fanny Brice), Lillias White (Fanny Brice), Carolee Carmello (Fanny Brice), Andrea Martin (Fanny Brice), Judy Kuhn (Fanny Brice), Bebe Neuwirth (Fanny Brice), Jane Krakowski (Fanny Brice), Ana Gasteyer (Fanny Brice), LaChanze (Fanny Brice), Kristin Chenoweth (Fanny Brice), Spencer Kayden (Fanny Brice), Ricki Lake (Fanny Brice), Idina Menzel (Fanny Brice), Sutton Foster (Fanny Brice), Whoopi Goldberg (Fanny Brice), Peter Gallagher (Nick Arnstein), Kaye Ballard (Mrs. Brice), John Scherer (Eddie), Len Cariou (Florenz Ziegfield), Adriane Lenox (Emma), Christine Pedi (Mrs. Meeker), Kristine Zbornik (Mrs. O'Malley), Marcia Lewis (Mrs. Strakosh), Gary Beach (Tom Keeney), Brad Oscar (Paul), John Bolton (John), Richard Kind (Mr. Renaldi), Laurie Gamache (Bubbles), Deidre Goodwin (Maude), Jason Danieley (Tenor), John Paul Almon (Actor), Rusty Reynolds (Snub Taylor), Rusty Reynolds (Ben), Peter Gregus (Ensemble), Michael Benjamin Washington (Ensemble), Michael Serapiglia (Ensemble), Jessica Pariseau (Ensemble), Michelle Potterf (Ensemble), Trisha Rapier (Ensemble), Naomi Kakuk (Ensemble), Paul Castree (Ensemble), Sara Lepere (Ensemble), Steven Brinberg (Ensemble), Ric Ryder (Ensemble), Stephanie Mills (Ensemble), Robert Fowler (Ensemble), Robin Byrd (Ensemble), Stacey Todd Holt (Ensemble), Sam Harris (Ensemble), Farah Alvin (Ensemble), Alan Souza (Ensemble), Bill Burns (Ensemble), Brad Musgrove (Ensemble), Christopher Kenney | Edie (Ensemble), Damian Keenan (Ensemble), David McKeown (Ensemble), Debra Denys Smith (Ensemble), Eileen Tepper (Ensemble), Maryann Hu (Ensemble), Gay Willis (Ensemble), Jamie Harris (Ensemble), Jeff Roberson (Ensemble), Jenny Sandler (Ensemble), Jermaine R. Rembert (Ensemble), Kate Coffman-Lloyd (Ensemble), Mary Birdsong (Ensemble)",,,,,10280
Jesus Christ Superstar,2012-03-14,SunsetBlvd79,Third Broadway Revival,video,"Paul Alexander Nolan (Jesus Christ), Josh Young (Judas Iscariot), Chilina Kennedy (Mary Magdalene), Tom Hewitt (Pontius Pilate), Marcus Nance (Caiaphas), Aaron Walpole (Annas), Mike Nadajewski (Peter), Lee Siegel (Simon Zealotes), Bruce Dow (King Herod)",,,,,10423
Love Never Dies,2010-04-29,SunsetBlvd79,West End,video,"Ramin Karimloo (The Phantom), Sierra Boggess (Christine Daaé), Joseph Millson (Raoul de Chagny), Liz Robertson (Madame Giry), Summer Strallen (Meg Giry), Louise Madison (s/b Fleck), Adam Pearce (Squelch), Jami Reid-Quarrell (Gangle), Richard Linnell (Gustave)",,,,,10522
Jesus Christ Superstar,2008-03-21,Unknown,Vienna (Easter Concerts),video,"Drew Sarich (Jesus Christ), Serkan Kaya (Judas Iscariot), Caroline Vasicek (Mary Magdalene), André Bauer (Pontius Pilate), Rob Fowler (Annas), Roman Straka (Peter), Rob Fowler (Simon Zealotes), Jacqueline Braun (King Herod)",,,,,11168
Sunday in the Park with George,1985-10-00,pro-shot,Broadway,video,"Mandy Patinkin (George), Mandy Patinkin (Georges Seurat), Bernadette Peters (Dot), Bernadette Peters (Marie), Charles Kimbrough (Jules), Charles Kimbrough (Bob Greenberg), Dana Ivey (Yvonne), Barbara Bryne (Old Lady), Brent Spiner (Franz), Judith Moore (Nurse), William Parry (Boatman), Melanie Vaughan (Celeste #1), Mary D'Arcy (Celeste #2), Frank Kopyc (Mr.), Nancy Opel (Frieda), Barbara Bryne (Blair Daniels), Danielle Ferland (Louise), Brent Spiner (Dennis), Cris Groenendaal (Louis), Dana Ivey (Naomi Eisen), Judith Moore (Mrs.), Mary D'Arcy (Elaine), Robert Westenberg (Alex), Cris Groenendaal (Billy Webster), William Parry (Charles Redmond), Frank Kopyc (Lee Randolph), Judith Moore (Harriet Pawling), Nancy Opel (Betty), Robert Westenberg (Soldier)",,,,,11184
Les Misérables,2014-08-06,HBCFG,Second Broadway Revival,audio,"Aaron Walpole (u/s Jean Valjean), Adam Monley (t/r Javert), Caissie Levy (Fantine), Samantha Hill (Cosette), Andy Mientus (Marius), Nikki M. James (Éponine), Cliff Saunders (Thénardier), Kyle Scatliffe (Enjolras), Keala Settle (Madame Thénardier), Joshua Colley (Gavroche)",Missing Lovely Ladies and Drink With Me.,Tracked MP3 (91.9MB),,,11581
West Side Story,1996-00-00,pro-shot,Barcelona,video,"Lorenzo Moncloa (Tony), Alba Quezada (Maria), Victor Ullate Roche (Riff), Marta Ribera (Anita), Fedor de Pablos (Bernardo)",,,,,11833
The Phantom of the Opera (Andrew Lloyd Webber),1994-00-00,Unknown,Toronto,video,"Peter Karrie (The Phantom of the Opera), Teresa De Zarn (Christine Daaé), David Rogers (Raoul de Chagny), Amy Walsh (Meg Giry)",,,,,11842
Cats,2008-10-16,Unknown,South Korea (2008),audio,"신영숙 Shin Young-sook (Grizabella), 이희정 Lee Hee-jung (Old Deuteronomy), 강연종 Kang Yeon-jong (Gus), 홍경수 Hong Kyung-soo (Munkustrap), Daesung (Rum Tum Tugger), Moon Byung Gwon (Skimbleshanks), 강연종 Kang Yeon-jong (Bustopher Jones), Kang In Young (Mungojerrie), 김보경 Kim Bo-kyung (Rumpleteazer), Lee Eun Hye (Jellylorum), Yoo Hui Woong (Mr. Mistoffelees), Jeong Joo Young (Macavity), Baek Doo San (Alonzo), 강연종 Kang Yeon-jong (Growltiger), Jeong Joo Young (Admetus), Wang Brita (Jemima)",,,,,12748
Cats,2015-07-11,Unknown,Koblenz,audio,"Monika Maria Staszak (Grizabella), Jongmin Lim (Old Deuteronomy), Isabel Mascarenhas (Bombalurina), Klaus Philipp (Munkustrap), Adrian Becker (Rum Tum Tugger), Charlotte Irene Thompson (Demeter), Marcel Hoffmann (Skimbleshanks), Mario Mariano (Mungojerrie), Raphaela Crossey (Rumpleteazer), Irina Golovatskaia (Jennyanydots)",,Tracked MP3 - 208.7 MB,,,12791
Rebecca,2012-06-23,cynicale,Stuttgart,audio,"Valerie Link (""Ich""), Jan Ammann (Maxim de Winter), Pia Douwes (Mrs. Danvers), Hannes Staffler (Jack Favell), Jörg Neubauer (Frank Crawley), Kerstin Ibald (Beatrice), Daniele Nonnis (Ben), Isabel Dörfler (Mrs. Van Hopper), Udo Eickelmann (Giles), Udo Eickelmann (Horridge), Christina Patten (Clarice), Matthias Graf (Frith), Erwin Bruhn (Oberst Julyan), Fehmi Göklü (Robert), Jakub Wocial (s/w Ensemble), Christina Maria Brenner (s/w Ensemble), Petra Clauwens (s/w Ensemble), Christoph Apfelbeck (Ensemble), Raphael Dörr (Ensemble), Hendrik Schall (Ensemble), Mona Graw (Ensemble), Denise Jastraunig (Ensemble), Maike Switzer (Ensemble), Wiebke Wötzel (Ensemble)","Better overall cast, with the notable exception of Giles (he was sweet during Was ist nur los mit ihm but deeply annoying in Die lieben verwandten). I also seem to recall Pia doing her own thing rather than strictly following the score a couple of times more often here than during the other performance, but I havent compared the two audios for evidence of this. Valeries first act seemed vocally weaker here than during the other performance, but she improved later on.",,,,13174
School of Rock,2016-11-06,Today4UTomorrow4Netflix,Broadway,audio,"Alex Brightman (Dewey Finn), Jenn Gambatese (Rosalie Mullins), Spencer Moses (Ned Schneebly), Becky Gulsvig (Patty), Isabella Russo (Summer), Bobbi MacKenzie (Tomika), Brandon Niederauer (Zack), Diego Lucano (Lawrence), Raghav Mehrotra (Freddy), Evie Dolan (Katie), Luca Padovan (Billy), Gianna Harris (Shonelle), Carly Gendell (Marcy), Gavin Kim (Mason), Gabby Gutierrez (Sophie), Chloe Bryan (Madison)",,,,,13219
Cats,2013-03-30,Unknown,Fifth UK Tour,video,"Joanna Ampil (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Melissa James (Bombalurina), Ben Palmer (Munkustrap), Oliver Savile (Rum Tum Tugger), Lily Frazer (Demeter), Jessica Buckby (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Barnaby Thompson (Mungojerrie), Katie Warsop (Rumpleteazer), Clare Rickard (Jellylorum), Alice Redmond (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Paul F Monaghan (Growltiger), Joal Morris (Carbucketty), Dawn Williams (Jemima), Lizzi Franklin (Tantomile), Alicia Beck (Victoria)",,,,,13256
Cats,2015-09-12,Unknown,"Tecklenburg, Germany",video,"Maya Hakvoort (Grizabella), Reinhard Brussmann (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Rachel Marshall (Bombalurina), Armin Kahl (Munkustrap), Shane Dickson (Rum Tum Tugger), Caroline Frank (Demeter), Lucy Costelloe (Cassandra), Stephan Luethy (Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Nils Haberstroh (Mungojerrie), Anna Carina Buchegger (Rumpleteazer), Leah Delos Santos (Jellylorum), Benjamin Eberling (Jennyanydots), David Pereira (Mr. Mistoffelees), Zoltan Fekete (Macavity), Andrew Hill (Alonzo), Yngve Gasoy-Romdal (Growltiger), David Pellerin (Bill Bailey), Fin Holzwart (Admetus), David Pellerin (Tumblebrutus), Brett Hibberd (Carbucketty), Celine Vogt (Jemima), Celine Vogt (Sillabub), Hakan T. Aslan (Pouncival), Marta Di Giulio (Electra), Zoltan Fekete (Plato), Leah Delos Santos (Griddlebone), David Pereira (Quaxo), Eleonora Talamini (Tantomile), Taryn Nelson (Victoria), Tobias Joch (Coricopat), Marthe Römer (Etcetera), Marco Herse Foti (Ensemble), Theano Makariou (Ensemble), Luisa Mancarella (Ensemble), Silja Schenk (Ensemble)",,,,,13257
Cats,2010-07-25,SunsetBlvd79,The Muny,video,"Stephanie J. Block (Grizabella), Ken Page (Old Deuteronomy), Michael Brian Dunn (Gus), Lara Teeter (Munkustrap), Kevin Loreque (Rum Tum Tugger), Drew Humphrey (Skimbleshanks), Michael Brian Dunn (Bustopher Jones), Christine Negherbon (Jennyanydots), Joseph Medeiros (Mr. Mistoffelees), Michael Brian Dunn (Growltiger)","Part of the 2010 Muny Season in St. Louis, which usually draws big Broadway names, as demonstrated here. Stephanie does a fantastic job as Grizabella here, as does Ken recreating his Old Deuteronomy from the original Broadway cast. A-",,,,13316
Cats,2002-05-00,Unknown,West End,audio,"Chrissie Hammond (Grizabella), Junix Inocian (Old Deuteronomy), Jack Rebaldi (Munkustrap), John Partridge (Rum Tum Tugger), Ben Tyrrell (Mr. Mistoffelees)",,,,,13556
Cats,2003-03-17,Unknown,Third UK Tour,audio,"Chrissie Hammond (Grizabella), Nicholas Pound (Old Deuteronomy), Emma Tunmore (Bombalurina), Norman Bowman (Munkustrap), Stuart Ramsay (Rum Tum Tugger), Barbara King (Demeter), Matthew Gould (Skimbleshanks), Tom Dwyer (Mungojerrie), Katy Jo Howman (Rumpleteazer)",,Tracked MP3 - 117.2 MB,,,13557
Cats,2003-08-23,Unknown,Third UK Tour,audio,"Chrissie Hammond (Grizabella), Nicholas Pound (Old Deuteronomy), Emma Tunmore (Bombalurina), Norman Bowman (Munkustrap), Stuart Ramsay (Rum Tum Tugger), Barbara King (Demeter), Matthew Gould (Skimbleshanks), Tom Dwyer (Mungojerrie), Katy Jo Howman (Rumpleteazer)",,Tracked MP3 - 125.4 MB,,,13558
Cats,2003-04-26,Unknown,Third UK Tour,audio,"Chrissie Hammond (Grizabella), Nicholas Pound (Old Deuteronomy), Patrick Clancy (Gus), Emma Tunmore (Bombalurina), Norman Bowman (Munkustrap), Stuart Ramsay (Rum Tum Tugger), Barbara King (Demeter), Summer Strallen (Cassandra), Matthew Gould (Skimbleshanks), Patrick Clancy (Bustopher Jones), Tom Dwyer (Mungojerrie), Katy Jo Howman (Rumpleteazer), Rebecca Vere (Jellylorum), Karen Clegg (Jennyanydots), Guy-Paul Roult de St Germain (Mr. Mistoffelees), Ben Tribe (u/s Macavity), Matthew Cole (Alonzo), Patrick Clancy (Growltiger), Tommi Sliiden (Bill Bailey), Ben Tribe (u/s Admetus), Tommi Sliiden (Tumblebrutus), Paul Farrell (Carbucketty), Sally Bayes (Jemima), Madeleine Harland (Tantomile), Emily Anderson (Victoria), Adrian Edmeades (Coricopat)",,,,,13559
Cats,2013-02-25,Unknown,Fifth UK Tour,audio,"Joanna Ampil (Grizabella), Nicholas Pound (Old Deuteronomy), Paul F Monaghan (Gus), Melissa James (Bombalurina), Ben Palmer (Munkustrap), Oliver Savile (Rum Tum Tugger), Lily Frazer (Demeter), Jessica Buckby (Cassandra), Ross Finnie (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Barnaby Thompson (Mungojerrie), Dawn Williams (u/s Rumpleteazer), Clare Rickard (Jellylorum), Alice Redmond (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Cameron Ball (Macavity), James Darch (Alonzo), Paul F Monaghan (Growltiger), Will Lucas (Bill Bailey), Cameron Ball (Admetus), Will Lucas (Tumblebrutus), Joel Morris (Carbucketty), Lizzi Franklin (u/s Jemima), Collette Coleman (s/w Tantomile), Alicia Beck (Victoria), Richard Astbury (Coricopat)",,,,,13560
Heathers: The Musical,2018-09-06,Unknown,West End,audio,"Carrie Hope Fletcher (Veronica Sawyer), Jamie Muscato (Jason ""J.D."" Dean), Jodie Steele (Heather Chandler), T'Shan Williams (Heather Duke), Sophie Isaacs (Heather McNamara), Dominic Andersen (Ram Sweeney), Christopher Chung (Kurt Kelly), Jenny O'Leary (Martha Dunnstock), Rebecca Lock (Ms. Fleming), Sergio Pasquariello (u/s Ram's Dad), Jon Boydon (Kurt's Dad), Rebecca Lock (Veronica's Mom), Jon Boydon (Veronica's Dad), Sergio Pasquariello (u/s Big Bud Dean), Jon Boydon (Principal Gowan), Alex James-Hatton (Beleaguered Geek), Sergio Pasquariello (Preppy Stud), John Lumsden (Hipster Dork), Lauren Drew (New Wave Party Girl), Charlotte Jaconelli (Stoner Chick), Olivia Moore (Young Republicanette), Merryl Ansah (Drama Club Drama Queen), Sergio Pasquariello (Officer McCord), Alex James-Hatton (Officer Milner)",,Untracked MP3 (97.3MB),,,13703
First Date,2013-11-24,coffeeisthebesttrades,Broadway,audio,"Zachary Levi (Aaron), Krysta Rodriguez (Casey), Sara Chase (Grandma Ida), Sara Chase (Lauren), Bryce Ryness (Gabe), Kate Loprest (Allison), Kristoffer Cusick (Reggie), Kristoffer Cusick (Aaron's Future Son), Kristoffer Cusick (Edgy Rocker Guy), Blake Hammond (Friendly Therapist), Kate Loprest (Google), Bryce Ryness (Edgy British Guy), Sara Chase (Aaron's Mother), Blake Hammond (Waiter), Blake Hammond (Casey's Father)",,MP3 (untracked) - 87.9 MB,,,13764
1776,2004-04-13,pro-shot,Performance Riverside,video,"Steve Glaudini (John Adams), Nils Anderson (Benjamin Franklin), David Humphrey (Thomas Jefferson), Robert Standley (John Dickinson), Stan Chandler (Edward Rutledge), Jill Van Velzer (Abigail Adams), Shannon Watson (Martha Jefferson), Sean Cox (Richard Henry Lee), John Massey Jr. (John Hancock)",,,,,13919
The Phantom of the Opera (Andrew Lloyd Webber),2015-09-07,Unknown,West End,audio,"John Owen-Jones (The Phantom of the Opera), Celinde Schoenmaker (Christine Daaé), Nadim Naaman (Raoul de Chagny)",,,,,13922
Elf,2012-11-17,SunsetBlvd79,First US National Tour,video,"Matt Kopec (Buddy), Kate Hennies (Jovie), Julia Louise Hosack (Emily), Drew Pulver (Walter Hobbs), Gordon Gray (Santa), Connor Barth (Michael), Jen Bechter (Deb), Royce McIntosh (Mr. Greenway), Clyde Voce (Macy's Manager)",,,,,14248
Jesus Christ Superstar,2015-03-17,iklachomzwaartekracht,DeLaMar Theater Concert,audio,"Freek Bartels (Jesus Christ), Martin van der Starre (Judas Iscariot), Renée van Wegberg (Mary Magdalene), Marcel Jonker (Pontius Pilate), Marcel Jonker (Caiaphas), Kok-Hwa Lie (Annas), Tommie Christiaan (Peter), Tommie Christiaan (Simon Zealotes), Marcel Jonker (King Herod)",,MP3 (tracked and untracked),,,14434
Jesus Christ Superstar,2015-03-16,iklachomzwaartekracht,DeLaMar Theater Concert,audio,"René van Kooten (Jesus Christ), Martin van der Starre (Judas Iscariot), Willemijn Verkaik (Mary Magdalene), Kok-Hwa Lie (Annas), Tommie Christiaan (Peter), Tommie Christiaan (Simon Zealotes), Marcel Jonker (King Herod)",,MP3 (tracked and untracked),,,14435
Wicked,2015-01-24,Giveemtheoldrazzledazzle,West End,audio,"Jennifer DiNoia (Elphaba), Sophie Linder-Lee (s/b Glinda), Jeremy Taylor (Fiyero), Martyn Ellis (The Wizard), Liza Sadovy (Madame Morrible), Katie Rowley Jones (Nessarose), Sam Lupton (Boq), Philip Childs (Doctor Dillamond)",,,,,14663
Carrie: The Musical,2012-01-31,Unknown,Off-Broadway,audio,"Molly Ranson (Carrie White), Marin Mazzie (Margaret White), Christy Altomare (Sue Snell), Derek Klena (Tommy Ross), Ben Thompson (Billy Nolan), Jeanna de Waal (Chris Hargensen), Carmen Cusack (Lynn Gardner), Wayne Alan Wilcox (Mr. Stephens), Elly Noble (Helen), Jen Sese (Frieda), Blair Goldberg (Norma), Corey Boardman (George), Andy Mientus (Stokes), F. Michael Haynie (Freddy ""The Beak"" Holt)",,,,,14892
Cats,2017-07-16,Autistic Jellicle Cat,First Broadway Revival,audio,"Mamie Parris (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Christine Cornish (Bombalurina), Andy Huntington Jones (Munkustrap), Tyler Hanes (Rum Tum Tugger), Kim Faure (Demeter), Dani Spieler (Cassandra), Harris Milgrim (Skimbleshanks), Christopher Gurr (Bustopher Jones), Zachary Daniel Jones (Mungojerrie), Haley Fish (Rumpleteazer), Sarah Jane Shanks (Jellylorum), Eloise Kropp (Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Daniel Gaymon (Macavity), Ahmad Simmons (Alonzo), Christopher Gurr (Growltiger), Andrew Wilson (Bill Bailey), Daniel Gaymon (Admetus), Andrew Wilson (Tumblebrutus), Callan Bergmann (Carbucketty), Jessica Cohen (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Emily Tate (Tantomile), Claire Rathbun (Victoria), Ron Todorowski (Coricopat)",,Untracked M4A (118.1MB),,,14898
The Phantom of the Opera (Andrew Lloyd Webber),2014-08-07,Unknown,Broadway,audio,"Norm Lewis (The Phantom of the Opera), Sierra Boggess (Christine Daaé), Jeremy Hays (Raoul de Chagny), Michele McConnell (Carlotta Giudicelli), Tim Jerome (Monsieur Firmin), Laird Mackintosh (Monsieur André), Cristin J. Hubbard (Madame Giry), Christian Šebek (Ubaldo Piangi), Deanna Doyle (Meg Giry)",,,,,15228
The Phantom of the Opera (Andrew Lloyd Webber),2013-01-26,ohwellinever-wasthereevertrading,Broadway,audio,"Hugh Panaro (The Phantom of the Opera), Sierra Boggess (t/r Christine Daaé), Kyle Barisich (Raoul de Chagny), Michele McConnell (Carlotta Giudicelli), Tim Jerome (Monsieur Firmin), Jim Weitzer (Monsieur André), Ellen Harvey (Madame Giry), Christian Šebek (Ubaldo Piangi), Kara Klein (Meg Giry)",,,,,15361
Wicked,2015-12-28,Unknown,West End,audio,"Emma Hatton (Elphaba), Carina Gillespie (s/b Glinda), Oliver Savile (Fiyero), Tom McGowan (The Wizard), Liza Sadovy (Madame Morrible), Lauren James Ray (u/s Nessarose), Daniel Hope (Boq), Sean Kearns (Doctor Dillamond)",,,,,15432
Sister Act,2017-05-13,frei-und-schwerelos,Singapore,audio,"Dené Hill (Deloris Van Cartier), Rebecca Mason-Wygal (Mother Superior), Brandon Godfrey (Curtis Jackson), Will T Travis (Eddie Souther), Sophie Kim (Mary Robert), Emma Brock (Mary Patrick), Nancy Evans (Mary Lazarus)",,M4A (untracked) - 87.4 MB,,,15533
Starlight Express,2008-08-15,Unknown,"Bochum, Germany",audio,"Kevin Köhler (Rusty), Carla Landridge (Pearl), Ernest Marchain (Greaseball), Ian Oswald (u/s Electra), Alex Wengel (u/s Poppa), Katy Hards (Dinah), Emma Jenkinson (u/s Buffy), Sian Jones (u/s Ashley), Gareth Bretherton (u/s Caboose), Jason Capewell (Dustin), Marc McFadyen (u/s Flat Top), Nick Gilligan (u/s Hip Hopper 1), Adam Sheffield (Hip Hopper 2), Daniel Keightley (u/s Hip Hopper 3), Nick Bower (Ruhrgold), Gareth Bailey (Espresso), Michael Byrne (Turnov), Nathan Sloan (Bobo), Travis Hickey (Hashamoto), Rachelle Walker (Joule), Amy Webb (Volta), Lyndsey Stokes (Wrench), Ben Prince (Purse), Paul Shipp (Krupp)",,,,,15574
